match_id,innings,team,opposition,name,overs,balls,maidens,conceded,wickets,economy,dots,fours,sixes,wides,noballs
433599,1,West Indies,India,45258,10,60,0,51,5,5.1,29,4,0,1,0
446965,1,Australia,England,5966,8,48,0,68,1,8.5,18,5,2,1,0
433566,1,Ireland,Bangladesh,47056,9,54,0,62,0,6.88,28,8,0,4,0
446965,1,Australia,England,45487,9,54,0,55,0,6.11,26,8,0,1,0
433599,1,West Indies,India,10506,4,24,0,32,0,8,10,6,0,0,0
433566,1,Ireland,Bangladesh,8228,8.2,50,0,40,2,4.8,25,4,0,0,1
446965,1,Australia,England,10125,5,30,0,29,0,5.8,11,2,0,0,0
433599,1,West Indies,India,51012,9.1,55,1,46,2,5.01,23,3,0,2,0
433584,1,Ireland,West Indies,47056,10,60,1,35,1,3.5,39,4,0,0,0
433566,1,Ireland,Bangladesh,10345,7,42,0,25,1,3.57,28,2,0,1,0
446965,1,Australia,England,49002,7,42,0,45,0,6.42,19,4,0,1,0
433599,1,West Indies,India,44829,6,36,0,35,1,5.83,17,1,2,1,0
433584,1,Ireland,West Indies,51559,7,42,1,22,0,3.14,32,4,0,0,0
503363,1,Bangladesh,Australia,51377,9,54,1,55,0,6.11,26,5,1,0,0
433566,1,Ireland,Bangladesh,6325,9,54,1,32,3,3.55,36,3,0,1,0
446965,1,Australia,England,12912,10,60,0,44,0,4.4,26,1,0,1,0
433599,1,West Indies,India,56471,10,60,0,48,1,4.8,29,5,0,0,0
433584,1,Ireland,West Indies,10345,9,54,0,58,2,6.44,21,5,1,2,0
503363,1,Bangladesh,Australia,24672,9,54,0,65,2,7.22,27,5,3,0,0
433566,1,Ireland,Bangladesh,56811,10,60,2,23,2,2.3,38,0,0,0,0
446965,1,Australia,England,50281,7,42,0,33,3,4.71,18,2,0,0,0
433599,1,West Indies,India,49040,10,60,0,49,1,4.9,29,4,0,1,0
433584,1,Ireland,West Indies,6325,10,60,0,56,1,5.6,22,4,0,0,0
503363,1,Bangladesh,Australia,45159,10,60,0,54,1,5.4,33,5,2,2,0
433566,1,Ireland,Bangladesh,52631,4,24,0,13,0,3.25,12,0,0,0,0
433579,1,South Africa,England,9492,8,48,2,22,3,2.75,35,2,0,1,0
446965,1,Australia,England,11984,4,24,0,21,4,5.25,13,3,0,0,0
518203,1,Canada,Afghanistan,45306,4,24,0,33,3,8.25,10,2,2,0,1
433599,2,India,West Indies,12894,10,60,0,41,2,4.1,32,2,1,1,0
433584,1,Ireland,West Indies,47397,9,54,0,71,4,7.88,25,5,5,0,0
503363,1,Bangladesh,Australia,48390,8,48,0,44,3,5.5,21,2,1,1,1
433566,1,Ireland,Bangladesh,47397,2,12,0,8,0,4,7,1,0,0,0
433579,1,South Africa,England,47154,9,54,0,37,1,4.11,31,2,0,1,0
446965,2,England,Australia,10829,10,60,1,57,2,5.7,31,7,0,0,1
518203,1,Canada,Afghanistan,57210,3.3,21,0,19,3,5.42,13,3,0,1,0
433599,2,India,West Indies,7678,6,36,0,26,3,4.33,22,3,0,2,0
433584,1,Ireland,West Indies,52631,2,12,0,9,0,4.5,7,1,0,0,0
503363,1,Bangladesh,Australia,48277,10,60,0,34,0,3.4,34,2,0,1,0
433566,2,Bangladesh,Ireland,51377,8,48,1,21,4,2.62,34,1,0,2,0
433579,1,South Africa,England,47289,7,42,0,16,2,2.28,33,2,0,1,0
446965,2,England,Australia,47848,10,60,0,58,1,5.8,27,4,0,1,0
518203,1,Canada,Afghanistan,48506,2,12,0,24,0,12,5,5,0,1,0
433599,2,India,West Indies,7139,9,54,1,35,1,3.88,36,3,1,1,0
433584,1,Ireland,West Indies,56811,3,18,0,15,1,5,9,1,0,1,0
503363,1,Bangladesh,Australia,47352,4,24,0,15,0,3.75,9,0,0,0,0
433566,2,Bangladesh,Ireland,45159,8,48,0,30,1,3.75,27,2,0,0,0
433579,1,South Africa,England,2232,4,24,1,14,0,3.5,16,0,0,1,0
446965,2,England,Australia,10851,10,60,0,62,1,6.2,29,6,1,1,0
518203,1,Canada,Afghanistan,61863,3,18,0,22,1,7.33,6,1,1,1,0
433599,2,India,West Indies,15473,7,42,0,28,0,4,21,2,0,0,0
433584,2,West Indies,Ireland,49034,8,48,0,34,1,4.25,31,5,0,0,0
503363,2,Australia,Bangladesh,5966,8,48,0,36,1,4.5,27,3,0,3,1
433566,2,Bangladesh,Ireland,47189,9,54,1,36,1,4,31,3,0,0,0
433579,1,South Africa,England,19422,8.4,52,1,38,4,4.38,30,4,0,1,0
446965,2,England,Australia,2314,7,42,0,22,1,3.14,25,1,0,1,0
518203,1,Canada,Afghanistan,60142,3,18,0,21,0,7,8,0,2,0,0
433599,2,India,West Indies,15716,2,12,0,12,1,6,4,1,0,0,0
