player_id,player_object_id,player_name,dob,dod,batting_style,bowling_style,country_id
93957,1046619,Avinash Pai,1/24/82,,right-hand bat,right-arm offbreak,18
2182,51462,Sherwin Campbell,11/1/70,,right-hand bat,right-arm medium,4
48391,56194,Tamim Iqbal,3/20/89,,left-hand bat,,25
2198,55935,Javed Omar,11/25/76,,right-hand bat,legbreak,25
52290,298438,Jason Roy,7/21/90,,right-hand bat,,1
87157,938959,Wessly Madhevere,9/4/00,,right-hand bat,right-arm offbreak,9
48927,226492,Martin Guptill,9/30/86,,right-hand bat,right-arm offbreak,5
51444,290462,Solomon Mire,8/21/89,,right-hand bat,right-arm medium-fast,9
1550,38757,John Wright,7/5/54,,left-hand bat,right-arm medium,5
10381,37265,Jamie How,5/19/81,,right-hand bat,right-arm medium,5
109868,1274033,Louis Bruce,6/25/05,,right-hand bat,right-arm medium,18
2122,53234,Stuart Williams,8/12/69,,right-hand bat,right-arm medium,4
66691,536936,Litton Das,10/13/94,,right-hand bat,right-arm offbreak,25
47721,56153,Shahriar Nafees,5/1/85,,left-hand bat,,25
52161,297433,Jonny Bairstow,9/26/89,,right-hand bat,right-arm medium,1
62733,465327,Innocent Kaia,8/10/92,,right-hand bat,legbreak,9
89097,959759,Finn Allen,4/22/99,,right-hand bat,,5
109871,1274036,Joseph Marples,7/30/91,,right-hand bat,,18
106213,1197880,Zeko Burgess,8/14/94,,right-hand bat,right-arm medium,12
2146,25544,Johanne Samarasekera,2/22/68,,right-hand bat,right-arm medium-fast,27
49282,235532,Cephas Zhuwao,12/15/84,,left-hand bat,slow left-arm orthodox,9
1503,36180,Robert Anderson,10/2/48,,right-hand bat,legbreak,5
10384,37737,Brendon McCullum,9/27/81,,right-hand bat,right-arm medium,5
2120,51469,Shivnarine Chanderpaul,8/16/74,,left-hand bat,legbreak,4
59806,403317,Iain Latin,6/14/84,,right-hand bat,legbreak,18
52656,303669,Joe Root,12/30/90,,right-hand bat,right-arm offbreak,1
2204,55906,Habibul Bashar,8/17/72,,right-hand bat,right-arm offbreak,25
47352,56025,Mahmudullah,2/4/86,,right-hand bat,right-arm offbreak,25
